blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
1587 003,915 N Washington St,Baltimore,MD,Middle East,13,Eastern,39.3011072129,-76.5894472154
2362 013,2538 Edmondson Ave,Baltimore,MD,Rosemont Homeowners / Tenants,9,Western,39.2949445337,-76.6575551204
3407 013,2424 Francis St,Baltimore,MD,Penn North,7,Western,39.3114669348,-76.6407801498
6042P232,5231 Cedgate Road,Baltimore,MD,Cedonia,2,Northeastern,39.3274199907,-76.5325870889
1572 002,2403 E Chase St,Baltimore,MD,Biddle Street,13,Eastern,39.3034599358,-76.5838106293
2446B057,2911 Riggs Ave,Baltimore,MD,Franklintown Road,9,Southwestern,39.2998968047,-76.6662354239
3400 082,1617 Clifton Ave,Baltimore,MD,Penn North,7,Western,39.3118254252,-76.6460257308
3057 015,3433 Mondawmin Ave,Baltimore,MD,Hanlon - Longwood,7,Northwestern,39.3148825017,-76.6756853419
2505A083,766 N Grantley St,Baltimore,MD,Edgewood,8,Southwestern,39.2969283274,-76.6760865282
7841C011,2521 Washington Blvd,Baltimore,MD,Morrell Park,10,Southwestern,39.2663061237,-76.6524901798
2402 027,1822 Ashburton St,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3086892985,-76.6625140767
2401A011,2721 W North Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.308975349,-76.6617049892
1127 049,1520 N Broadway,Baltimore,MD,Oliver,12,Eastern,39.3079085196,-76.5952536498
3938 023,1909 E 28th St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3236598156,-76.5887227252
0009 021,1727 Westwood Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3086626994,-76.6457865783
1621 079,705 N Duncan St,Baltimore,MD,Middle East,13,Eastern,39.2990942724,-76.5871653791
3234 015M,2327 Bryant Ave,Baltimore,MD,Parkview / Woodbrook,7,Western,39.3172410601,-76.6477127615
